cell,source,width,value
gt_mod,nam,12,7.65
gt_mod,nam,13,2.97
gt_mod,nam,14,-2.09
gt_mod,nam,15,-6.97
gt_mod,nam,16,-12.39
gt_mod,nam,17,-18.02
gt_mod,nam,18,-23.66
gt_mod,nam,19,-29.86
gt_mod,nam,20,-35.5
gt_mod,nam,21,-39.54
gt_mod,nam,22,-44.2
gt_mod,nam,23,-44.34
gt_mod,nam,24,-44.39
fl_max,gtr2,8,3.6068
fl_max,gtr2,9,2.9151
fl_max,gtr2,10,1.5804
fl_max,gtr2,11,-0.2903
fl_max,gtr2,12,0.1306
fl_max,gtr2,13,12.7120
fl_max,gtr2,14,9.9068
fl_max,gtr2,15,4.4407
fl_max,gtr2,16,-1.9933
fl_max,gtr2,17,-8.6468
fl_max,gtr2,18,-15.0584
fl_max,gtr2,19,-20.9962
fl_max,gtr2,20,-26.8399
fl_max,gtr2,21,-32.3930
fl_max,gtr2,22,-37.4796
fl_max,gtr2,23,-40.3905
fl_max,gtr2,24,-41.8054
fl_max,gtr4sg,8,4.5682
fl_max,gtr4sg,9,3.3790
fl_max,gtr4sg,10,3.1520
fl_max,gtr4sg,11,0.2942
fl_max,gtr4sg,12,0.2478
fl_max,gtr4sg,13,10.0974
fl_max,gtr4sg,14,10.1306
fl_max,gtr4sg,15,5.5289
fl_max,gtr4sg,16,-0.5051
fl_max,gtr4sg,17,-6.7602
fl_max,gtr4sg,18,-12.4119
fl_max,gtr4sg,19,-18.8075
fl_max,gtr4sg,20,-24.7916
fl_max,gtr4sg,21,-29.9261
fl_max,gtr4sg,22,-34.3733
fl_max,gtr4sg,23,-36.3705
fl_max,gtr4sg,24,-37.4891
fl_max,prvtgtr,8,7.6865
fl_max,prvtgtr,9,4.4701
fl_max,prvtgtr,10,2.6742
fl_max,prvtgtr,11,-0.0031
fl_max,prvtgtr,12,-0.1918
fl_max,prvtgtr,13,15.8233
fl_max,prvtgtr,14,16.8826
fl_max,prvtgtr,15,12.3441
fl_max,prvtgtr,16,6.1601
fl_max,prvtgtr,17,0.2701
fl_max,prvtgtr,18,-5.8513
fl_max,prvtgtr,19,-11.8514
fl_max,prvtgtr,20,-17.5004
fl_max,prvtgtr,21,-22.4730
fl_max,prvtgtr,22,-26.3790
fl_max,prvtgtr,23,-28.0161
fl_max,prvtgtr,24,-28.1589
fl_max,ytbass,8,5.8137
fl_max,ytbass,9,3.9224
fl_max,ytbass,10,2.5565
fl_max,ytbass,11,0.5435
fl_max,ytbass,12,0.4295
fl_max,ytbass,13,1.6073
fl_max,ytbass,14,9.6920
fl_max,ytbass,15,5.3682
fl_max,ytbass,16,0.8270
fl_max,ytbass,17,-4.7499
fl_max,ytbass,18,-10.8257
fl_max,ytbass,19,-17.1728
fl_max,ytbass,20,-23.4526
fl_max,ytbass,21,-29.2069
fl_max,ytbass,22,-34.7405
fl_max,ytbass,23,-37.7839
fl_max,ytbass,24,-38.7555
fl_max,nam,8,12.71
