cell,source,width,value
rodent_max,nam,12,-1.978
rodent_max,nam,13,-2.543
rodent_max,nam,14,-3.621
rodent_max,nam,15,-2.733
rodent_max,nam,16,-1.587
rodent_max,nam,17,-0.971
rodent_max,nam,18,-0.749
rodent_max,nam,19,-0.607
rodent_max,nam,20,-0.468
rodent_max,nam,21,-0.373
rodent_max,nam,22,-0.191
rodent_max,nam,23,-0.179
rodent_max,nam,24,-0.177
rodent_mod,gtr2,8,-3.907
rodent_mod,gtr2,9,-3.905
rodent_mod,gtr2,10,-3.886
rodent_mod,gtr2,11,-3.799
rodent_mod,gtr2,12,-3.873
rodent_mod,gtr2,13,-3.667
rodent_mod,gtr2,14,-2.868
rodent_mod,gtr2,15,-1.957
rodent_mod,gtr2,16,-1.185
rodent_mod,gtr2,17,-0.639
rodent_mod,gtr2,18,-0.356
rodent_mod,gtr2,19,-0.175
rodent_mod,gtr2,20,0.011
rodent_mod,gtr2,21,0.090
rodent_mod,gtr2,22,0.152
rodent_mod,gtr2,23,0.172
rodent_mod,gtr2,24,0.178
rodent_mod,gtr4sg,8,-3.902
rodent_mod,gtr4sg,9,-3.822
rodent_mod,gtr4sg,10,-2.399
rodent_mod,gtr4sg,11,-1.795
rodent_mod,gtr4sg,12,-3.857
rodent_mod,gtr4sg,13,-3.202
rodent_mod,gtr4sg,14,-2.080
rodent_mod,gtr4sg,15,-1.337
rodent_mod,gtr4sg,16,-0.878
rodent_mod,gtr4sg,17,-0.569
rodent_mod,gtr4sg,18,-0.325
rodent_mod,gtr4sg,19,-0.166
rodent_mod,gtr4sg,20,0.029
rodent_mod,gtr4sg,21,0.099
rodent_mod,gtr4sg,22,0.157
rodent_mod,gtr4sg,23,0.174
rodent_mod,gtr4sg,24,0.178
rodent_mod,prvtgtr,8,-3.910
rodent_mod,prvtgtr,9,-3.900
rodent_mod,prvtgtr,10,-3.742
rodent_mod,prvtgtr,11,-2.540
rodent_mod,prvtgtr,12,-3.801
rodent_mod,prvtgtr,13,-3.315
rodent_mod,prvtgtr,14,-1.800
rodent_mod,prvtgtr,15,-1.148
rodent_mod,prvtgtr,16,-0.837
rodent_mod,prvtgtr,17,-0.594
rodent_mod,prvtgtr,18,-0.379
rodent_mod,prvtgtr,19,-0.229
rodent_mod,prvtgtr,20,0.014
rodent_mod,prvtgtr,21,0.077
rodent_mod,prvtgtr,22,0.121
rodent_mod,prvtgtr,23,0.127
rodent_mod,prvtgtr,24,0.128
rodent_mod,ytbass,8,-3.894
rodent_mod,ytbass,9,-3.848
rodent_mod,ytbass,10,-3.856
rodent_mod,ytbass,11,-3.349
rodent_mod,ytbass,12,-3.864
rodent_mod,ytbass,13,-3.678
rodent_mod,ytbass,14,-2.815
rodent_mod,ytbass,15,-1.650
rodent_mod,ytbass,16,-0.988
rodent_mod,ytbass,17,-0.717
rodent_mod,ytbass,18,-0.556
rodent_mod,ytbass,19,-0.363
rodent_mod,ytbass,20,-0.046
rodent_mod,ytbass,21,0.056
rodent_mod,ytbass,22,0.141
rodent_mod,ytbass,23,0.162
rodent_mod,ytbass,24,0.169
rodent_mod,nam,8,-3.912
rodent_mod,nam,9,-3.904
