cell,source,width,value
rodent_mod,nam,16,-34.75
rodent_mod,nam,17,-41.12
rodent_mod,nam,18,-47.26
rodent_mod,nam,19,-53.78
rodent_mod,nam,20,-60.34
rodent_mod,nam,21,-62.42
rodent_mod,nam,22,-70.34
rodent_mod,nam,23,-71.24
rodent_mod,nam,24,-70.27
gt_max,gtr2,8,3.34
gt_max,gtr2,9,-3.78
gt_max,gtr2,10,-2.15
gt_max,gtr2,11,-7.61
gt_max,gtr2,12,-11.64
gt_max,gtr2,13,-20.46
gt_max,gtr2,14,-26.59
gt_max,gtr2,15,-32.16
gt_max,gtr2,16,-38.02
gt_max,gtr2,17,-45.13
gt_max,gtr2,18,-52.38
gt_max,gtr2,19,-58.93
gt_max,gtr2,20,-64.80
gt_max,gtr2,21,-69.61
gt_max,gtr2,22,-77.07
gt_max,gtr2,23,-77.71
gt_max,gtr2,24,-77.58
gt_max,gtr4sg,8,2.23
gt_max,gtr4sg,9,-5.32
gt_max,gtr4sg,10,-4.48
gt_max,gtr4sg,11,-10.94
gt_max,gtr4sg,12,-14.88
gt_max,gtr4sg,13,-24.87
gt_max,gtr4sg,14,-30.11
gt_max,gtr4sg,15,-35.20
gt_max,gtr4sg,16,-40.97
gt_max,gtr4sg,17,-47.64
gt_max,gtr4sg,18,-53.61
gt_max,gtr4sg,19,-59.65
gt_max,gtr4sg,20,-65.41
gt_max,gtr4sg,21,-70.65
gt_max,gtr4sg,22,-78.97
gt_max,gtr4sg,23,-79.77
gt_max,gtr4sg,24,-79.66
gt_max,prvtgtr,8,5.32
gt_max,prvtgtr,9,-3.95
gt_max,prvtgtr,10,-4.49
gt_max,prvtgtr,11,-9.79
gt_max,prvtgtr,12,-14.51
gt_max,prvtgtr,13,-23.48
gt_max,prvtgtr,14,-29.76
gt_max,prvtgtr,15,-35.89
gt_max,prvtgtr,16,-42.58
gt_max,prvtgtr,17,-48.75
gt_max,prvtgtr,18,-53.96
gt_max,prvtgtr,19,-59.37
gt_max,prvtgtr,20,-63.67
gt_max,prvtgtr,21,-68.04
gt_max,prvtgtr,22,-77.09
gt_max,prvtgtr,23,-77.89
gt_max,prvtgtr,24,-77.20
gt_max,ytbass,8,2.84
gt_max,ytbass,9,-1.43
gt_max,ytbass,10,-2.33
gt_max,ytbass,11,-8.22
gt_max,ytbass,12,-13.37
gt_max,ytbass,13,-21.99
gt_max,ytbass,14,-28.84
gt_max,ytbass,15,-35.41
gt_max,ytbass,16,-42.08
gt_max,ytbass,17,-49.61
gt_max,ytbass,18,-56.35
gt_max,ytbass,19,-62.15
gt_max,ytbass,20,-67.38
gt_max,ytbass,21,-72.13
gt_max,ytbass,22,-79.72
gt_max,ytbass,23,-80.65
gt_max,ytbass,24,-80.48
gt_max,nam,8,7.34
gt_max,nam,9,-0.62
gt_max,nam,10,-0.23
gt_max,nam,11,-5.17
gt_max,nam,12,-10.14
gt_max,nam,13,-18.32
gt_max,nam,14,-24.59
gt_max,nam,15,-31.04
gt_max,nam,16,-37.49
gt_max,nam,17,-44.24
gt_max,nam,18,-51.22
gt_max,nam,19,-57.22
gt_max,nam,20,-62.07
gt_max,nam,21,-66.90
gt_max,nam,22,-75.45
gt_max,nam,23,-76.21
gt_max,nam,24,-76.04
gt_mod,gtr2,8,-3.39
gt_mod,gtr2,9,-3.98
gt_mod,gtr2,10,-7.68
gt_mod,gtr2,11,-12.21
gt_mod,gtr2,12,-18.59
gt_mod,gtr2,13,-23.74
gt_mod,gtr2,14,-30.85
gt_mod,gtr2,15,-36.82
gt_mod,gtr2,16,-43.48
gt_mod,gtr2,17,-49.39
gt_mod,gtr2,18,-56.43
gt_mod,gtr2,19,-64.24
gt_mod,gtr2,20,-69.21
gt_mod,gtr2,21,-76.09
gt_mod,gtr2,22,-85.55
gt_mod,gtr2,23,-85.34
gt_mod,gtr2,24,-85.63
gt_mod,gtr4sg,8,-0.20
gt_mod,gtr4sg,9,-4.79
gt_mod,gtr4sg,10,-8.85
gt_mod,gtr4sg,11,-15.94
gt_mod,gtr4sg,12,-20.96
gt_mod,gtr4sg,13,-28.66
gt_mod,gtr4sg,14,-35.92
gt_mod,gtr4sg,15,-42.11
gt_mod,gtr4sg,16,-48.75
gt_mod,gtr4sg,17,-53.17
gt_mod,gtr4sg,18,-59.35
gt_mod,gtr4sg,19,-66.57
gt_mod,gtr4sg,20,-70.60
gt_mod,gtr4sg,21,-76.77
gt_mod,gtr4sg,22,-86.77
gt_mod,gtr4sg,23,-86.41
gt_mod,gtr4sg,24,-86.66
gt_mod,prvtgtr,8,4.21
gt_mod,prvtgtr,9,-0.17
gt_mod,prvtgtr,10,-9.19
gt_mod,prvtgtr,11,-13.53
gt_mod,prvtgtr,12,-20.17
gt_mod,prvtgtr,13,-26.56
gt_mod,prvtgtr,14,-34.13
gt_mod,prvtgtr,15,-39.17
gt_mod,prvtgtr,16,-43.41
gt_mod,prvtgtr,17,-48.41
gt_mod,prvtgtr,18,-53.09
gt_mod,prvtgtr,19,-58.51
gt_mod,prvtgtr,20,-62.94
gt_mod,prvtgtr,21,-66.96
