sample,dry_input,golden_fp32_output
644,0.125,0.143048257
645,0.0956708565,0.14334172
646,0.0647047609,0.143666446
647,0.0326315463,0.142914146
648,1.71481503e-15,0.13295871
649,-0.0326315463,0.0661655515
650,-0.0647047609,-0.00432106853
651,-0.0956708565,-0.0576247163
652,-0.125,-0.0838740766
653,-0.152190357,-0.103236042
654,-0.176776692,-0.11362198
655,-0.19833833,-0.123927526
656,-0.216506347,-0.132339418
657,-0.230969876,-0.135909468
658,-0.241481453,-0.138571382
659,-0.247861221,-0.140396237
660,-0.25,-0.141131029
661,-0.247861221,-0.141331077
662,-0.241481453,-0.141258061
663,-0.230969876,-0.141099826
664,-0.216506347,-0.140983433
665,-0.19833833,-0.140920028
666,-0.176776692,-0.140873328
667,-0.152190357,-0.140795648
668,-0.125,-0.140621454
669,-0.0956708565,-0.140313357
670,-0.0647047609,-0.139968663
671,-0.0326315463,-0.139667004
672,-8.5725277e-16,-0.137468219
673,0.0326315463,-0.0967937931
674,0.0647047609,0.00145384669
675,0.0956708565,0.0435009971
676,0.125,0.0784308165
677,0.152190357,0.0995730162
678,0.176776692,0.112604007
679,0.19833833,0.121264428
680,0.216506347,0.127612114
681,0.230969876,0.13199918
682,0.241481453,0.135125086
683,0.247861221,0.137402222
684,0.25,0.139055103
685,0.247861221,0.140289485
686,0.241481453,0.141201884
687,0.230969876,0.141900375
688,0.216506347,0.142426863
689,0.19833833,0.142750874
690,0.176776692,0.14280504
691,0.152190357,0.14268215
692,0.125,0.142696276
693,0.0956708565,0.143001109
694,0.0647047609,0.143332303
695,0.0326315463,0.142573431
696,-3.09490324e-19,0.132505178
697,-0.0326315463,0.0651935637
698,-0.0647047609,-0.00503061712
699,-0.0956708565,-0.0581211075
700,-0.125,-0.0842956305
701,-0.152190357,-0.103613064
702,-0.176776692,-0.113952816
703,-0.19833833,-0.124267839
704,-0.216506347,-0.132683665
705,-0.230969876,-0.136244833
706,-0.241481453,-0.138915211
707,-0.247861221,-0.140746802
708,-0.25,-0.141483814
709,-0.247861221,-0.141686544
710,-0.241481453,-0.141614661
711,-0.230969876,-0.141456723
712,-0.216506347,-0.141340628
713,-0.19833833,-0.141277701
714,-0.176776692,-0.141231909
715,-0.152190357,-0.141155571
716,-0.125,-0.140982822
717,-0.0956708565,-0.140675694
718,-0.0647047609,-0.140330896
719,-0.0326315463,-0.140029788
720,-2.69484189e-15,-0.137871027
721,0.0326315463,-0.0979715586
722,0.0647047609,0.00107510388
723,0.0956708565,0.0429059863
724,0.125,0.0779554397
725,0.152190357,0.0991031528
726,0.176776692,0.112165019
727,0.19833833,0.120845109
728,0.216506347,0.127205819
729,0.230969876,0.131608546
730,0.241481453,0.134744242
731,0.247861221,0.137031198
732,0.25,0.138692617
733,0.247861221,0.139934152
734,0.241481453,0.140852854
735,0.230969876,0.141555727
736,0.216506347,0.14208509
737,0.19833833,0.142410845
738,0.176776692,0.142468348
739,0.152190357,0.142353475
740,0.125,0.142379746
741,0.0956708565,0.142695129
742,0.0647047609,0.143031672
743,0.0326315463,0.142264873
744,1.83727968e-15,0.132079124
745,-0.0326315463,0.0642294586
746,-0.0647047609,-0.00571665913
747,-0.0956708565,-0.0585882105
748,-0.125,-0.0846874043
749,-0.152190357,-0.103958428
750,-0.176776692,-0.114250951
751,-0.19833833,-0.124575935
752,-0.216506347,-0.132995471
753,-0.230969876,-0.136547238
754,-0.241481453,-0.139226452
755,-0.247861221,-0.141064733
756,-0.25,-0.141803965
757,-0.247861221,-0.142009363
758,-0.241481453,-0.141938582
759,-0.230969876,-0.141780958
760,-0.216506347,-0.141665041
761,-0.19833833,-0.141602546
762,-0.176776692,-0.141557708
763,-0.152190357,-0.141482621
764,-0.125,-0.141311318
765,-0.0956708565,-0.141004995
766,-0.0647047609,-0.140659809
767,-0.0326315463,-0.140358895
768,-9.79717482e-16,-0.138240755
769,0.0326315463,-0.0991266593
770,0.0647047609,0.000714629889
771,0.0956708565,0.0423335135
772,0.125,0.0775090605
773,0.152190357,0.0986645371
774,0.176776692,0.111759186
775,0.19833833,0.120459199
776,0.216506347,0.126832649
777,0.230969876,0.131251365
778,0.241481453,0.134396896
779,0.247861221,0.13669385
780,0.25,0.138363793
