"cell","width","arm","wns_ns","source","copied"
"rodent_max","10","default","0.430","<BITGEN>\out\gru_L20_rodent_max_w10.bit","True"
"rodent_max","11","default","0.621","<BITGEN>\out\gru_L20_rodent_max_w11.bit","True"
"rodent_max","12","default","0.521","<BITGEN>\out\gru_L20_rodent_max_w12.bit","True"
"rodent_max","13","default","0.518","<BITGEN>\out\gru_L20_rodent_max_w13.bit","True"
"rodent_max","14","default","0.96975314617156982","<BITGEN>\out\gru_L20_rodent_max_w14.bit","True"
"rodent_max","15","default","0.37418600916862488","<BITGEN>\out\gru_L20_rodent_max_w15.bit","True"
"rodent_max","16","default","0.93492859601974487","<BITGEN>\out\gru_L20_rodent_max_w16.bit","True"
"rodent_max","17","default","0.750","<BITGEN>\out\gru_L20_rodent_max_w17.bit","True"
"rodent_max","18","default","0.970","<BITGEN>\out\gru_L20_rodent_max_w18.bit","True"
"rodent_max","19","default","0.173","<BITGEN>\out\gru_L20_rodent_max_w19.bit","True"
"rodent_max","20","default(pilot)","0.039","<BITGEN>\out\gru_L20_rodent_max_w20.bit","True"
"rodent_max","21","forced_dsp","0.122","<BITGEN>\out_dsp\gru_L20_rodent_max_w21_dsp.bit","True"
"rodent_max","22","strategy_race(Performance_NetDelay_high)","0.22033929824829102","<BITGEN>\out_dsp\gru_L20_rodent_max_w22_dsp_best.bit","True"
"rodent_max","23","default","0.077","<BITGEN>\out\gru_L20_rodent_max_w23.bit","True"
"rodent_max","24","default","0.368","<BITGEN>\out\gru_L20_rodent_max_w24.bit","True"
"gt_mod","8","default","0.071","<BITGEN>\out\gru_L20_gt_mod_w8.bit","True"
"gt_mod","9","default","0.320","<BITGEN>\out\gru_L20_gt_mod_w9.bit","True"
"gt_mod","10","default","0.301","<BITGEN>\out\gru_L20_gt_mod_w10.bit","True"
"gt_mod","11","default","0.398","<BITGEN>\out\gru_L20_gt_mod_w11.bit","True"
"gt_mod","12","default","0.593","<BITGEN>\out\gru_L20_gt_mod_w12.bit","True"
"gt_mod","13","default","0.480","<BITGEN>\out\gru_L20_gt_mod_w13.bit","True"
"gt_mod","14","default","0.441","<BITGEN>\out\gru_L20_gt_mod_w14.bit","True"
"gt_mod","15","default","0.360","<BITGEN>\out\gru_L20_gt_mod_w15.bit","True"
"gt_mod","16","default","0.469","<BITGEN>\out\gru_L20_gt_mod_w16.bit","True"
"gt_mod","17","default","0.312","<BITGEN>\out\gru_L20_gt_mod_w17.bit","True"
"gt_mod","18","default","0.431","<BITGEN>\out\gru_L20_gt_mod_w18.bit","True"
"gt_mod","19","default","0.416","<BITGEN>\out\gru_L20_gt_mod_w19.bit","True"
"gt_mod","20","default","0.163","<BITGEN>\out\gru_L20_gt_mod_w20.bit","True"
"gt_mod","21","forced_dsp","0.145","<BITGEN>\out_dsp\gru_L20_gt_mod_w21_dsp.bit","True"
"gt_mod","22","forced_dsp","0.320","<BITGEN>\out_dsp\gru_L20_gt_mod_w22_dsp.bit","True"
"gt_mod","23","default","0.229","<BITGEN>\out\gru_L20_gt_mod_w23.bit","True"
"gt_mod","24","default","0.040","<BITGEN>\out\gru_L20_gt_mod_w24.bit","True"
"gt_max","8","forced_dsp","0.636","<BITGEN>\out_dsp\gru_L20_gt_max_w8_dsp.bit","True"
"gt_max","9","default","0.563","<BITGEN>\out\gru_L20_gt_max_w9.bit","True"
"gt_max","10","default","0.478","<BITGEN>\out\gru_L20_gt_max_w10.bit","True"
"gt_max","11","default","0.493","<BITGEN>\out\gru_L20_gt_max_w11.bit","True"
"gt_max","12","default","0.565","<BITGEN>\out\gru_L20_gt_max_w12.bit","True"
"gt_max","13","default","0.617","<BITGEN>\out\gru_L20_gt_max_w13.bit","True"
"gt_max","14","default","0.516","<BITGEN>\out\gru_L20_gt_max_w14.bit","True"
"gt_max","15","default","0.508","<BITGEN>\out\gru_L20_gt_max_w15.bit","True"
"gt_max","16","default","0.719","<BITGEN>\out\gru_L20_gt_max_w16.bit","True"
"gt_max","17","default","0.202","<BITGEN>\out\gru_L20_gt_max_w17.bit","True"
"gt_max","18","default","0.732","<BITGEN>\out\gru_L20_gt_max_w18.bit","True"
"gt_max","19","default","0.226","<BITGEN>\out\gru_L20_gt_max_w19.bit","True"
"gt_max","20","default","0.039","<BITGEN>\out\gru_L20_gt_max_w20.bit","True"
"gt_max","21","strategy_race(Performance_WLBlockPlacementFanoutOpt)","0.33643043041229248","<BITGEN>\out_dsp\gru_L20_gt_max_w21_dsp_best.bit","True"
"gt_max","22","forced_dsp","0.107","<BITGEN>\out_dsp\gru_L20_gt_max_w22_dsp.bit","True"
"gt_max","23","default","0.294","<BITGEN>\out\gru_L20_gt_max_w23.bit","True"
"gt_max","24","default","0.137","<BITGEN>\out\gru_L20_gt_max_w24.bit","True"
"fl_mod","8","forced_dsp","0.444","<BITGEN>\out_dsp\gru_L20_fl_mod_w8_dsp.bit","True"
"fl_mod","9","default","0.656","<BITGEN>\out\gru_L20_fl_mod_w9.bit","True"
"fl_mod","10","default","0.521","<BITGEN>\out\gru_L20_fl_mod_w10.bit","True"
"fl_mod","11","default","0.382","<BITGEN>\out\gru_L20_fl_mod_w11.bit","True"
"fl_mod","12","default","0.370","<BITGEN>\out\gru_L20_fl_mod_w12.bit","True"
"fl_mod","13","default","0.611","<BITGEN>\out\gru_L20_fl_mod_w13.bit","True"
"fl_mod","14","default","0.608","<BITGEN>\out\gru_L20_fl_mod_w14.bit","True"
"fl_mod","15","default","0.408","<BITGEN>\out\gru_L20_fl_mod_w15.bit","True"
"fl_mod","16","default","0.904","<BITGEN>\out\gru_L20_fl_mod_w16.bit","True"
"fl_mod","17","default","0.891","<BITGEN>\out\gru_L20_fl_mod_w17.bit","True"
"fl_mod","18","default","0.534","<BITGEN>\out\gru_L20_fl_mod_w18.bit","True"
"fl_mod","19","default","0.934","<BITGEN>\out\gru_L20_fl_mod_w19.bit","True"
"fl_mod","20","default","0.018","<BITGEN>\out\gru_L20_fl_mod_w20.bit","True"
"fl_mod","21","forced_dsp","0.091","<BITGEN>\out_dsp\gru_L20_fl_mod_w21_dsp.bit","True"
"fl_mod","22","forced_dsp","0.137","<BITGEN>\out_dsp\gru_L20_fl_mod_w22_dsp.bit","True"
"fl_mod","23","default","0.108","<BITGEN>\out\gru_L20_fl_mod_w23.bit","True"
"fl_mod","24","default","0.347","<BITGEN>\out\gru_L20_fl_mod_w24.bit","True"
"fl_max","8","default","0.066","<BITGEN>\out\gru_L20_fl_max_w8.bit","True"
"fl_max","9","default","0.518","<BITGEN>\out\gru_L20_fl_max_w9.bit","True"
"fl_max","10","default","0.243","<BITGEN>\out\gru_L20_fl_max_w10.bit","True"
"fl_max","11","default","0.500","<BITGEN>\out\gru_L20_fl_max_w11.bit","True"
"fl_max","12","default","0.315","<BITGEN>\out\gru_L20_fl_max_w12.bit","True"
"fl_max","13","default","0.563","<BITGEN>\out\gru_L20_fl_max_w13.bit","True"
"fl_max","14","default","0.779","<BITGEN>\out\gru_L20_fl_max_w14.bit","True"
"fl_max","15","default","0.540","<BITGEN>\out\gru_L20_fl_max_w15.bit","True"
"fl_max","16","default","0.826","<BITGEN>\out\gru_L20_fl_max_w16.bit","True"
"fl_max","17","default","0.788","<BITGEN>\out\gru_L20_fl_max_w17.bit","True"
"fl_max","18","default","0.699","<BITGEN>\out\gru_L20_fl_max_w18.bit","True"
"fl_max","19","default","0.339","<BITGEN>\out\gru_L20_fl_max_w19.bit","True"
"fl_max","20","default","0.039","<BITGEN>\out\gru_L20_fl_max_w20.bit","True"
"fl_max","21","default","0.025","<BITGEN>\out\gru_L20_fl_max_w21.bit","True"
"fl_max","22","forced_dsp","0.111","<BITGEN>\out_dsp\gru_L20_fl_max_w22_dsp.bit","True"
"fl_max","23","default","0.250","<BITGEN>\out\gru_L20_fl_max_w23.bit","True"
"fl_max","24","default","0.046","<BITGEN>\out\gru_L20_fl_max_w24.bit","True"
