cell,width,variant,LUT,FF,BRAM,DSP,path,md5
gt_max,18,default,19073,20473,5,71,<BITGEN>\reports\gru_L20_gt_max_w18\gru_bin_version_wrapper_utilization_placed.rpt,D8E6AA651E1FB185E2CEC5406BDB7BA4
gt_mod,18,default,19109,20540,5,74,<BITGEN>\reports\gru_L20_gt_mod_w18\gru_bin_version_wrapper_utilization_placed.rpt,E0053FD032C255996B3ECC111FE09E70
fl_max,18,default,18966,20291,5,75,<BITGEN>\reports\gru_L20_fl_max_w18\gru_bin_version_wrapper_utilization_placed.rpt,24F6DEC401BE78EC680256AB924D4E39
fl_mod,18,default,19012,20395,5,74,<BITGEN>\reports\gru_L20_fl_mod_w18\gru_bin_version_wrapper_utilization_placed.rpt,01011D65E34D29B13219EBBC214CB2E4
rodent_max,19,default,19618,20997,5,75,<BITGEN>\reports\gru_L20_rodent_max_w19\gru_bin_version_wrapper_utilization_placed.rpt,F623B3AAD22B105C5D353FA31319EF22
rodent_mod,19,default,19594,20827,5,71,<BITGEN>\reports\gru_L20_rodent_mod_w19\gru_bin_version_wrapper_utilization_placed.rpt,C48D76842DAF5A3E55392D6825433BF3
gt_max,19,default,19575,20892,5,76,<BITGEN>\reports\gru_L20_gt_max_w19\gru_bin_version_wrapper_utilization_placed.rpt,255D1671BE34432B93BA7D7263B47549
gt_mod,19,default,19697,20988,5,76,<BITGEN>\reports\gru_L20_gt_mod_w19\gru_bin_version_wrapper_utilization_placed.rpt,662AA4166400F67009F050FFBB8D3B5C
fl_max,19,default,19476,20745,5,75,<BITGEN>\reports\gru_L20_fl_max_w19\gru_bin_version_wrapper_utilization_placed.rpt,2AA01926620D259017A2CAAE9BF27A64
fl_mod,19,default,19605,20873,5,73,<BITGEN>\reports\gru_L20_fl_mod_w19\gru_bin_version_wrapper_utilization_placed.rpt,914BD16B1D97C461B9C407D111A610D2
rodent_max,20,default,24172,23759,6,70,<BITGEN>\reports\gru_L20_rodent_max_w20\gru_bin_version_wrapper_utilization_placed.rpt,BBF2B0E5E580A211C034AA9A0F684BA5
rodent_mod,20,default,24106,23595,6,70,<BITGEN>\reports\gru_L20_rodent_mod_w20\gru_bin_version_wrapper_utilization_placed.rpt,60113B13E85C936E8C7B56AD61D3B2C3
gt_max,20,default,24288,23614,6,74,<BITGEN>\reports\gru_L20_gt_max_w20\gru_bin_version_wrapper_utilization_placed.rpt,7E4011FE6441FE0B7627F1B9B6045003
gt_mod,20,default,24117,23750,6,73,<BITGEN>\reports\gru_L20_gt_mod_w20\gru_bin_version_wrapper_utilization_placed.rpt,93940263E1CEFC4D5C8D6783DD6D1ADA
fl_max,20,default,24509,23469,6,70,<BITGEN>\reports\gru_L20_fl_max_w20\gru_bin_version_wrapper_utilization_placed.rpt,48A703EA6501B6632CE245B339F6D8DE
fl_mod,20,default,24413,23599,6,70,<BITGEN>\reports\gru_L20_fl_mod_w20\gru_bin_version_wrapper_utilization_placed.rpt,A5476F20B3C2314A7399B1926F4958E7
rodent_max,21,default,26948,24410,6,70,<BITGEN>\reports\gru_L20_rodent_max_w21\gru_bin_version_wrapper_utilization_placed.rpt,A55DC1DEB1A3B4967887F3890EE231E1
rodent_max,21,dsp,19855,22783,6,134,<BITGEN>\reports\gru_L20_rodent_max_w21_dsp\gru_bin_version_wrapper_utilization_placed.rpt,0007537B8A0A1E3A59EE2E6D216989C9
rodent_mod,21,default,26643,24190,6,70,<BITGEN>\reports\gru_L20_rodent_mod_w21\gru_bin_version_wrapper_utilization_placed.rpt,A32948F5DD2BB664D28F1028E6AF30E7
rodent_mod,21,dsp,19788,22566,6,135,<BITGEN>\reports\gru_L20_rodent_mod_w21_dsp\gru_bin_version_wrapper_utilization_placed.rpt,149639FCE4E1556BD1ADFBE09C5DAC8B
gt_max,21,default,27043,24176,6,70,<BITGEN>\reports\gru_L20_gt_max_w21\gru_bin_version_wrapper_utilization_placed.rpt,019623C8700489889085D81EB0F24945
gt_max,21,dsp,19815,22666,6,133,<BITGEN>\reports\gru_L20_gt_max_w21_dsp\gru_bin_version_wrapper_utilization_placed.rpt,DFAF89B9C97ECBC4605CAD93B7F2EF19
gt_max,21,dsp,19826,22650,6,133,<BITGEN>\reports\gru_L20_gt_max_w21_dsp_best\gru_bin_version_wrapper_utilization_placed.rpt,C2417A19B70F6885C99709FA2AB74664
gt_mod,21,default,27083,24400,6,70,<BITGEN>\reports\gru_L20_gt_mod_w21\gru_bin_version_wrapper_utilization_placed.rpt,EC8205142BF7AE92A32C8FA928D01D0E
gt_mod,21,dsp,19833,22757,6,133,<BITGEN>\reports\gru_L20_gt_mod_w21_dsp\gru_bin_version_wrapper_utilization_placed.rpt,72DE8C89BD78E65084F2DC18345E2F1D
fl_max,21,default,26575,24197,6,70,<BITGEN>\reports\gru_L20_fl_max_w21\gru_bin_version_wrapper_utilization_placed.rpt,7D3C7B9C0D4948692D11030C67C84F75
fl_mod,21,default,26679,24274,6,70,<BITGEN>\reports\gru_L20_fl_mod_w21\gru_bin_version_wrapper_utilization_placed.rpt,9EF6442BA17176931627345B3307CB65
fl_mod,21,dsp,19817,22534,6,135,<BITGEN>\reports\gru_L20_fl_mod_w21_dsp\gru_bin_version_wrapper_utilization_placed.rpt,E772FB3F45BCB6FD8F04DB2305E61F6A
rodent_max,22,default,28185,24839,6,71,<BITGEN>\reports\gru_L20_rodent_max_w22\gru_bin_version_wrapper_utilization_placed.rpt,32FC7926167A84B705E82109A385E948
rodent_max,22,dsp,20034,23127,6,135,<BITGEN>\reports\gru_L20_rodent_max_w22_dsp\gru_bin_version_wrapper_utilization_placed.rpt,7588DCE3162BA897C8CB577A16F0CABA
rodent_max,22,dsp,20042,23129,6,135,<BITGEN>\reports\gru_L20_rodent_max_w22_dsp_best\gru_bin_version_wrapper_utilization_placed.rpt,2CE974E7D10DEA894418F1848211F9E5
rodent_mod,22,default,28206,24615,6,70,<BITGEN>\reports\gru_L20_rodent_mod_w22\gru_bin_version_wrapper_utilization_placed.rpt,EA7391F69CBCA7EA5DF894671296E419
rodent_mod,22,dsp,19894,22862,6,135,<BITGEN>\reports\gru_L20_rodent_mod_w22_dsp\gru_bin_version_wrapper_utilization_placed.rpt,4A9BBC414F7E199074D55355F96CA963
rodent_mod,22,dsp,19894,22862,6,135,<BITGEN>\reports\gru_L20_rodent_mod_w22_dsp_best\gru_bin_version_wrapper_utilization_placed.rpt,C380756400DF5F54903C12649350A329
gt_max,22,default,27983,24714,6,71,<BITGEN>\reports\gru_L20_gt_max_w22\gru_bin_version_wrapper_utilization_placed.rpt,7626F80316444BC5DA5ABBCCD8FBE31B
gt_max,22,dsp,20003,23013,6,135,<BITGEN>\reports\gru_L20_gt_max_w22_dsp\gru_bin_version_wrapper_utilization_placed.rpt,5049E8C79632117EC22B2FAAFC28FF6A
gt_mod,22,default,28423,24861,6,71,<BITGEN>\reports\gru_L20_gt_mod_w22\gru_bin_version_wrapper_utilization_placed.rpt,F748D67D60065560933DF9C68AD68D03
gt_mod,22,dsp,19992,23084,6,135,<BITGEN>\reports\gru_L20_gt_mod_w22_dsp\gru_bin_version_wrapper_utilization_placed.rpt,0B938895EB9CF74A1EA68A39029F0704
fl_max,22,default,28179,24575,6,71,<BITGEN>\reports\gru_L20_fl_max_w22\gru_bin_version_wrapper_utilization_placed.rpt,EC462EC721FB4599EBB50914094F4348
fl_max,22,dsp,19911,22905,6,135,<BITGEN>\reports\gru_L20_fl_max_w22_dsp\gru_bin_version_wrapper_utilization_placed.rpt,78944BB2E91B164BE93AC8DDBAB22382
fl_mod,22,default,28239,24649,6,70,<BITGEN>\reports\gru_L20_fl_mod_w22\gru_bin_version_wrapper_utilization_placed.rpt,6FD0CEA434C29E3F9AF254B40040AD66
fl_mod,22,dsp,19973,22932,6,135,<BITGEN>\reports\gru_L20_fl_mod_w22_dsp\gru_bin_version_wrapper_utilization_placed.rpt,0F171C1FA24D0B51735432D3E6247B9C
rodent_max,23,default,20790,23800,6,131,<BITGEN>\reports\gru_L20_rodent_max_w23\gru_bin_version_wrapper_utilization_placed.rpt,99588DB47421DBE2DB5C5064A3020AC8
rodent_mod,23,default,20583,23519,6,131,<BITGEN>\reports\gru_L20_rodent_mod_w23\gru_bin_version_wrapper_utilization_placed.rpt,6DA79E0DF65F87447B26CACB9937F9C8
gt_max,23,default,20698,23667,6,130,<BITGEN>\reports\gru_L20_gt_max_w23\gru_bin_version_wrapper_utilization_placed.rpt,9938DED2261279907CACF74136262590
gt_mod,23,default,20729,23769,6,130,<BITGEN>\reports\gru_L20_gt_mod_w23\gru_bin_version_wrapper_utilization_placed.rpt,9D06459A58F2639A968D7F51A070FDEF
fl_max,23,default,20670,23523,6,130,<BITGEN>\reports\gru_L20_fl_max_w23\gru_bin_version_wrapper_utilization_placed.rpt,D4FA88B0C05D37AB7CD5562FA1B1F6CE
fl_mod,23,default,20595,23554,6,131,<BITGEN>\reports\gru_L20_fl_mod_w23\gru_bin_version_wrapper_utilization_placed.rpt,74A747AF76BDA7521CF873B6613B9110
rodent_max,24,default,20825,24041,6,132,<BITGEN>\reports\gru_L20_rodent_max_w24\gru_bin_version_wrapper_utilization_placed.rpt,A0057F0B57FA9138F19D8AA9515B29B1
rodent_mod,24,default,20571,23732,6,133,<BITGEN>\reports\gru_L20_rodent_mod_w24\gru_bin_version_wrapper_utilization_placed.rpt,BB323E7669208FA5504BCF4A0FFBD76D
gt_max,24,default,20942,24035,6,131,<BITGEN>\reports\gru_L20_gt_max_w24\gru_bin_version_wrapper_utilization_placed.rpt,9AA8323844CC1C3C45095C54CB6F217A
gt_mod,24,default,20942,24065,6,132,<BITGEN>\reports\gru_L20_gt_mod_w24\gru_bin_version_wrapper_utilization_placed.rpt,8E280FD5FE1ED5F367C7BF0A3F17942F
fl_max,24,default,20664,23781,6,133,<BITGEN>\reports\gru_L20_fl_max_w24\gru_bin_version_wrapper_utilization_placed.rpt,D0DDB49040A91F1FABFC132082CAC6C0
fl_mod,24,default,20689,23939,6,133,<BITGEN>\reports\gru_L20_fl_mod_w24\gru_bin_version_wrapper_utilization_placed.rpt,B86F2734841F8009C6560CD92E26FBF9
