cell,src,width,rho_L,beta_dBdB,n_frames,n_dropped,esr_db,ref_len,test_len,truncated,status,pairs_file,ref,test
gt_mod,ytbass,8,0.1418,0.0444,28387,0,7.88,29071200,29071200,0,OK,pairs_music340.csv,<ELLE_HB>/peaq/cellrefs_gt_mod/anchor_ytbass_ref32.f32,<ELLE_HB>/peaq/board_music/board_ytbass_gt_mod_w8.f32
gt_mod,ytbass,9,0.3284,0.0897,28387,0,1.64,29071200,29071200,0,OK,pairs_music340.csv,<ELLE_HB>/peaq/cellrefs_gt_mod/anchor_ytbass_ref32.f32,<ELLE_HB>/peaq/board_music/board_ytbass_gt_mod_w9.f32
gt_mod,ytbass,10,0.4733,0.1358,28387,0,-6.81,29071200,29071200,0,OK,pairs_music340.csv,<ELLE_HB>/peaq/cellrefs_gt_mod/anchor_ytbass_ref32.f32,<ELLE_HB>/peaq/board_music/board_ytbass_gt_mod_w10.f32
gt_mod,ytbass,11,0.1723,0.0467,28387,0,-11.67,29071200,29071200,0,OK,pairs_music340.csv,<ELLE_HB>/peaq/cellrefs_gt_mod/anchor_ytbass_ref32.f32,<ELLE_HB>/peaq/board_music/board_ytbass_gt_mod_w11.f32
gt_mod,ytbass,12,-0.1643,-0.0439,28387,0,-17.57,29071200,29071200,0,OK,pairs_music340.csv,<ELLE_HB>/peaq/cellrefs_gt_mod/anchor_ytbass_ref32.f32,<ELLE_HB>/peaq/board_music/board_ytbass_gt_mod_w12.f32
gt_mod,ytbass,13,-0.3304,-0.0941,28387,0,-24.91,29071200,29071200,0,OK,pairs_music340.csv,<ELLE_HB>/peaq/cellrefs_gt_mod/anchor_ytbass_ref32.f32,<ELLE_HB>/peaq/board_music/board_ytbass_gt_mod_w13.f32
gt_mod,ytbass,14,-0.5244,-0.1614,28387,0,-32.83,29071200,29071200,0,OK,pairs_music340.csv,<ELLE_HB>/peaq/cellrefs_gt_mod/anchor_ytbass_ref32.f32,<ELLE_HB>/peaq/board_music/board_ytbass_gt_mod_w14.f32
gt_mod,ytbass,15,-0.6482,-0.1951,28387,0,-40.20,29071200,29071200,0,OK,pairs_music340.csv,<ELLE_HB>/peaq/cellrefs_gt_mod/anchor_ytbass_ref32.f32,<ELLE_HB>/peaq/board_music/board_ytbass_gt_mod_w15.f32
gt_mod,ytbass,16,-0.7431,-0.2259,28387,0,-48.19,29071200,29071200,0,OK,pairs_music340.csv,<ELLE_HB>/peaq/cellrefs_gt_mod/anchor_ytbass_ref32.f32,<ELLE_HB>/peaq/board_music/board_ytbass_gt_mod_w16.f32
gt_mod,ytbass,17,-0.6738,-0.1191,28387,0,-53.14,29071200,29071200,0,OK,pairs_music340.csv,<ELLE_HB>/peaq/cellrefs_gt_mod/anchor_ytbass_ref32.f32,<ELLE_HB>/peaq/board_music/board_ytbass_gt_mod_w17.f32
