"sentinel","run_id","timestamp","cell","width","board_file","board_md5","ref_file","ref_md5","nmr_db","frames","skip_val","status","elapsed_s","raw_tail"
"SCORE-XCELLNMR-REV2","20260814_091630","2026-08-14T09:18:03","fl_mod","20","board_nam_fl_mod_w20.f32","357EB0FE513A3967712520B1CC04A603","anchor_nam_ref32_fl_mod.f32","31637310EF178F1E5909499925A31961","-22.13","8794","1024","OK","2.7","NMR-REV2  NMR = -22.13 dB   (frames=8794, voiced=8794, skip=1024)"
"SCORE-XCELLNMR-REV2","20260814_091630","2026-08-14T09:18:06","fl_mod","21","board_nam_fl_mod_w21.f32","0A43F4ED3353525EA5452EE7A3C6B020","anchor_nam_ref32_fl_mod.f32","31637310EF178F1E5909499925A31961","-24.31","8794","1024","OK","2.7","NMR-REV2  NMR = -24.31 dB   (frames=8794, voiced=8794, skip=1024)"
"SCORE-XCELLNMR-REV2","20260814_091630","2026-08-14T09:18:09","fl_mod","22","board_nam_fl_mod_w22.f32","0F89F16AD34BB79F2E97726BF0DE98A5","anchor_nam_ref32_fl_mod.f32","31637310EF178F1E5909499925A31961","-30.82","8794","1024","OK","2.7","NMR-REV2  NMR = -30.82 dB   (frames=8794, voiced=8794, skip=1024)"
"SCORE-XCELLNMR-REV2","20260814_091630","2026-08-14T09:18:12","fl_mod","23","board_nam_fl_mod_w23.f32","306B02E1392EFF66E598A58E1B214F04","anchor_nam_ref32_fl_mod.f32","31637310EF178F1E5909499925A31961","-36.8","8794","1024","OK","2.6","NMR-REV2  NMR = -36.80 dB   (frames=8794, voiced=8794, skip=1024)"
"SCORE-XCELLNMR-REV2","20260814_091630","2026-08-14T09:18:15","fl_mod","24","board_nam_fl_mod_w24.f32","143696CAE16D80679C2A9CCDC3A1AC2E","anchor_nam_ref32_fl_mod.f32","31637310EF178F1E5909499925A31961","-36.56","8794","1024","OK","2.6","NMR-REV2  NMR = -36.56 dB   (frames=8794, voiced=8794, skip=1024)"
"SCORE-XCELLNMR-REV2","20260814_091630","2026-08-14T09:18:18","gt_max","8","board_nam_gt_max_w8.f32","6B740A8C5C4C1693BDF00C35DCB33D96","anchor_nam_ref32_gt_max.f32","D44D5ADAEEDABE5ED2A50B74D19CAF70","29.17","8794","1024","OK","2.7","NMR-REV2  NMR = 29.17 dB   (frames=8794, voiced=8794, skip=1024)"
"SCORE-XCELLNMR-REV2","20260814_091630","2026-08-14T09:18:21","gt_max","9","board_nam_gt_max_w9.f32","FF55CC97C72F47C23A8C2D7F741A4B9F","anchor_nam_ref32_gt_max.f32","D44D5ADAEEDABE5ED2A50B74D19CAF70","17.57","8794","1024","OK","2.7","NMR-REV2  NMR = 17.57 dB   (frames=8794, voiced=8794, skip=1024)"
"SCORE-XCELLNMR-REV2","20260814_091630","2026-08-14T09:18:24","gt_max","10","board_nam_gt_max_w10.f32","C4B25E0CF23E047BDC62A781217ECAF9","anchor_nam_ref32_gt_max.f32","D44D5ADAEEDABE5ED2A50B74D19CAF70","17.73","8794","1024","OK","2.7","NMR-REV2  NMR = 17.73 dB   (frames=8794, voiced=8794, skip=1024)"
"SCORE-XCELLNMR-REV2","20260814_091630","2026-08-14T09:18:27","gt_max","11","board_nam_gt_max_w11.f32","22BFF5E7F2C18C61B00C3D63D839A427","anchor_nam_ref32_gt_max.f32","D44D5ADAEEDABE5ED2A50B74D19CAF70","15.47","8794","1024","OK","2.6","NMR-REV2  NMR = 15.47 dB   (frames=8794, voiced=8794, skip=1024)"
"SCORE-XCELLNMR-REV2","20260814_091630","2026-08-14T09:18:30","gt_max","12","board_nam_gt_max_w12.f32","711B152F79CEB2CDE2DBD630C9B4DE3F","anchor_nam_ref32_gt_max.f32","D44D5ADAEEDABE5ED2A50B74D19CAF70","13.94","8794","1024","OK","2.7","NMR-REV2  NMR = 13.94 dB   (frames=8794, voiced=8794, skip=1024)"
"SCORE-XCELLNMR-REV2","20260814_091630","2026-08-14T09:18:34","gt_max","13","board_nam_gt_max_w13.f32","85C09B8D12F14119B777C7F60C4D87DE","anchor_nam_ref32_gt_max.f32","D44D5ADAEEDABE5ED2A50B74D19CAF70","12.39","8794","1024","OK","2.7","NMR-REV2  NMR = 12.39 dB   (frames=8794, voiced=8794, skip=1024)"
"SCORE-XCELLNMR-REV2","20260814_091630","2026-08-14T09:18:37","gt_max","14","board_nam_gt_max_w14.f32","E4AC128840CA67BBABDB986038945E59","anchor_nam_ref32_gt_max.f32","D44D5ADAEEDABE5ED2A50B74D19CAF70","8.48","8794","1024","OK","2.6","NMR-REV2  NMR = 8.48 dB   (frames=8794, voiced=8794, skip=1024)"
"SCORE-XCELLNMR-REV2","20260814_091630","2026-08-14T09:18:40","gt_max","15","board_nam_gt_max_w15.f32","7B99074B84607B008FC4CD6BC09AF206","anchor_nam_ref32_gt_max.f32","D44D5ADAEEDABE5ED2A50B74D19CAF70","3.82","8794","1024","OK","2.7","NMR-REV2  NMR = 3.82 dB   (frames=8794, voiced=8794, skip=1024)"
"SCORE-XCELLNMR-REV2","20260814_091630","2026-08-14T09:18:43","gt_max","16","board_nam_gt_max_w16.f32","E404729A112588390AA94654CDB9E506","anchor_nam_ref32_gt_max.f32","D44D5ADAEEDABE5ED2A50B74D19CAF70","-1.98","8794","1024","OK","2.7","NMR-REV2  NMR = -1.98 dB   (frames=8794, voiced=8794, skip=1024)"
"SCORE-XCELLNMR-REV2","20260814_091630","2026-08-14T09:18:46","gt_max","17","board_nam_gt_max_w17.f32","8CF425547A7BA28D14018AB32DCB4A10","anchor_nam_ref32_gt_max.f32","D44D5ADAEEDABE5ED2A50B74D19CAF70","-8.28","8794","1024","OK","2.8","NMR-REV2  NMR = -8.28 dB   (frames=8794, voiced=8794, skip=1024)"
"SCORE-XCELLNMR-REV2","20260814_091630","2026-08-14T09:18:49","gt_max","18","board_nam_gt_max_w18.f32","E6C539CC7A230EDB158676AF13BC8D49","anchor_nam_ref32_gt_max.f32","D44D5ADAEEDABE5ED2A50B74D19CAF70","-14.65","8794","1024","OK","2.7","NMR-REV2  NMR = -14.65 dB   (frames=8794, voiced=8794, skip=1024)"
"SCORE-XCELLNMR-REV2","20260814_091630","2026-08-14T09:18:52","gt_max","19","board_nam_gt_max_w19.f32","1AB9A88B169BFEEE97CE0202F3EF14FD","anchor_nam_ref32_gt_max.f32","D44D5ADAEEDABE5ED2A50B74D19CAF70","-20.88","8794","1024","OK","2.7","NMR-REV2  NMR = -20.88 dB   (frames=8794, voiced=8794, skip=1024)"
"SCORE-XCELLNMR-REV2","20260814_091630","2026-08-14T09:18:55","gt_max","20","board_nam_gt_max_w20.f32","4F3E1F4D18D79E8F5739581AC21E9513","anchor_nam_ref32_gt_max.f32","D44D5ADAEEDABE5ED2A50B74D19CAF70","-26.54","8794","1024","OK","2.7","NMR-REV2  NMR = -26.54 dB   (frames=8794, voiced=8794, skip=1024)"
"SCORE-XCELLNMR-REV2","20260814_091630","2026-08-14T09:18:58","gt_max","21","board_nam_gt_max_w21.f32","9A0595CA0271C45A0423FD791BF3A649","anchor_nam_ref32_gt_max.f32","D44D5ADAEEDABE5ED2A50B74D19CAF70","-30.93","8794","1024","OK","2.7","NMR-REV2  NMR = -30.93 dB   (frames=8794, voiced=8794, skip=1024)"
"SCORE-XCELLNMR-REV2","20260814_091630","2026-08-14T09:19:01","gt_max","22","board_nam_gt_max_w22.f32","165CD95660FE5FA0CE7ABD71539B73A2","anchor_nam_ref32_gt_max.f32","D44D5ADAEEDABE5ED2A50B74D19CAF70","-37.97","8794","1024","OK","2.7","NMR-REV2  NMR = -37.97 dB   (frames=8794, voiced=8794, skip=1024)"
"SCORE-XCELLNMR-REV2","20260814_091630","2026-08-14T09:19:04","gt_max","23","board_nam_gt_max_w23.f32","5A571E499D6D387BC8ADA54E7A380E45","anchor_nam_ref32_gt_max.f32","D44D5ADAEEDABE5ED2A50B74D19CAF70","-38.28","8794","1024","OK","2.7","NMR-REV2  NMR = -38.28 dB   (frames=8794, voiced=8794, skip=1024)"
"SCORE-XCELLNMR-REV2","20260814_091630","2026-08-14T09:19:07","gt_max","24","board_nam_gt_max_w24.f32","89D8F611DB6835E01A1C90E69342D42B","anchor_nam_ref32_gt_max.f32","D44D5ADAEEDABE5ED2A50B74D19CAF70","-38.4","8794","1024","OK","2.6","NMR-REV2  NMR = -38.40 dB   (frames=8794, voiced=8794, skip=1024)"
"SCORE-XCELLNMR-REV2","20260814_091630","2026-08-14T09:19:10","gt_mod","8","board_nam_gt_mod_w8.f32","93AFDFE0D0576CC98F77FDCFA6FA8081","anchor_nam_ref32_gt_mod.f32","3AB1381FD551B60B7CDB153C64227D22","29.72","8794","1024","OK","2.6","NMR-REV2  NMR = 29.72 dB   (frames=8794, voiced=8792, skip=1024)"
"SCORE-XCELLNMR-REV2","20260814_091630","2026-08-14T09:19:13","gt_mod","9","board_nam_gt_mod_w9.f32","F09ED9009F51FD45B377CA7709CD178F","anchor_nam_ref32_gt_mod.f32","3AB1381FD551B60B7CDB153C64227D22","22.59","8794","1024","OK","2.7","NMR-REV2  NMR = 22.59 dB   (frames=8794, voiced=8792, skip=1024)"
"SCORE-XCELLNMR-REV2","20260814_091630","2026-08-14T09:19:16","gt_mod","10","board_nam_gt_mod_w10.f32","56E6FB4938126C3E72F41035617F0E75","anchor_nam_ref32_gt_mod.f32","3AB1381FD551B60B7CDB153C64227D22","16.74","8794","1024","OK","2.7","NMR-REV2  NMR = 16.74 dB   (frames=8794, voiced=8792, skip=1024)"
"SCORE-XCELLNMR-REV2","20260814_091630","2026-08-14T09:19:19","gt_mod","11","board_nam_gt_mod_w11.f32","62A38A80FB1B7CF17587393FFD135277","anchor_nam_ref32_gt_mod.f32","3AB1381FD551B60B7CDB153C64227D22","13.13","8794","1024","OK","2.6","NMR-REV2  NMR = 13.13 dB   (frames=8794, voiced=8792, skip=1024)"
"SCORE-XCELLNMR-REV2","20260814_091630","2026-08-14T09:19:22","gt_mod","12","board_nam_gt_mod_w12.f32","1203DDB34AA2DE9C144DBCE38D9B8087","anchor_nam_ref32_gt_mod.f32","3AB1381FD551B60B7CDB153C64227D22","7.65","8794","1024","OK","2.7","NMR-REV2  NMR = 7.65 dB   (frames=8794, voiced=8792, skip=1024)"
"SCORE-XCELLNMR-REV2","20260814_091630","2026-08-14T09:19:25","gt_mod","13","board_nam_gt_mod_w13.f32","79465593C2E354979E4AD33DDC9236D5","anchor_nam_ref32_gt_mod.f32","3AB1381FD551B60B7CDB153C64227D22","2.97","8794","1024","OK","2.7","NMR-REV2  NMR = 2.97 dB   (frames=8794, voiced=8792, skip=1024)"
"SCORE-XCELLNMR-REV2","20260814_091630","2026-08-14T09:19:28","gt_mod","14","board_nam_gt_mod_w14.f32","E79F252C58F177E566D698F6254E8EB1","anchor_nam_ref32_gt_mod.f32","3AB1381FD551B60B7CDB153C64227D22","-2.09","8794","1024","OK","2.6","NMR-REV2  NMR = -2.09 dB   (frames=8794, voiced=8792, skip=1024)"
"SCORE-XCELLNMR-REV2","20260814_091630","2026-08-14T09:19:31","gt_mod","15","board_nam_gt_mod_w15.f32","548D32CCD0849FF11E770D9FA21CB51E","anchor_nam_ref32_gt_mod.f32","3AB1381FD551B60B7CDB153C64227D22","-6.97","8794","1024","OK","2.7","NMR-REV2  NMR = -6.97 dB   (frames=8794, voiced=8792, skip=1024)"
"SCORE-XCELLNMR-REV2","20260814_091630","2026-08-14T09:19:35","gt_mod","16","board_nam_gt_mod_w16.f32","5606CC8A62FB053032AFD8C07F4453E7","anchor_nam_ref32_gt_mod.f32","3AB1381FD551B60B7CDB153C64227D22","-12.39","8794","1024","OK","2.7","NMR-REV2  NMR = -12.39 dB   (frames=8794, voiced=8792, skip=1024)"
"SCORE-XCELLNMR-REV2","20260814_091630","2026-08-14T09:19:38","gt_mod","17","board_nam_gt_mod_w17.f32","7854E0C4BEB257C9CDC32C2F908F8791","anchor_nam_ref32_gt_mod.f32","3AB1381FD551B60B7CDB153C64227D22","-18.02","8794","1024","OK","2.7","NMR-REV2  NMR = -18.02 dB   (frames=8794, voiced=8792, skip=1024)"
"SCORE-XCELLNMR-REV2","20260814_091630","2026-08-14T09:19:41","gt_mod","18","board_nam_gt_mod_w18.f32","625A967B26772CD9D1DF763BDAFFA206","anchor_nam_ref32_gt_mod.f32","3AB1381FD551B60B7CDB153C64227D22","-23.66","8794","1024","OK","2.7","NMR-REV2  NMR = -23.66 dB   (frames=8794, voiced=8792, skip=1024)"
"SCORE-XCELLNMR-REV2","20260814_091630","2026-08-14T09:19:44","gt_mod","19","board_nam_gt_mod_w19.f32","914E43BC9661BAC04C5C6DC400CF9884","anchor_nam_ref32_gt_mod.f32","3AB1381FD551B60B7CDB153C64227D22","-29.86","8794","1024","OK","2.7","NMR-REV2  NMR = -29.86 dB   (frames=8794, voiced=8792, skip=1024)"
"SCORE-XCELLNMR-REV2","20260814_091630","2026-08-14T09:19:47","gt_mod","20","board_nam_gt_mod_w20.f32","ACF8A4EC89410CC78A862E8519D24E2F","anchor_nam_ref32_gt_mod.f32","3AB1381FD551B60B7CDB153C64227D22","-35.5","8794","1024","OK","2.8","NMR-REV2  NMR = -35.50 dB   (frames=8794, voiced=8792, skip=1024)"
